email,name,description,founding_date,ending_date,type,major,field,member_count,description_original
kmpaganesha@km.itb.ac.id,Keluarga Mahasiswa Pencinta Alam Ganesha ITB,"Keluarga Mahasiswa Pencinta Alam Ganesha ITB, lembaga kemahasiswaan ITB, mewadahi kolaborasi dan eksplorasi diri untuk melestarikan budaya angklung dengan menjunjung kekeluargaan.",1991-02-24,,UKM,,Olahraga dan Kesehatan,61,Keluarga Mahasiswa Pencinta Alam Ganesha ITB (KMPA Ganesha ITB) adalah unit kegiatan mahasiswa yang bergerak di bidang kegiatan alam bebas dan pelestarian lingkungan.
kmh_itb@km.itb.ac.id,Keluarga Mahasiswa Hindu Vidya Dharma Putra Ganesha ITB,"Keluarga Mahasiswa Hindu Vidya Dharma Putra Ganesha ITB adalah lembaga kemahasiswaan yang meluruskan salah pengertian ajaran Hindu, membina pribadi baik, dan memaknai hari suci.",1989-11-03,,UKM,,Agama,,Keluarga Mahasiswa Hindu Vidya Dharma Putra Ganesha ITB (KMH ITB) adalah unit kegiatan mahasiswa yang menjadi wadah kegiatan keagamaan Hindu di ITB.
gmunc_itb@km.itb.ac.id,Ganesha Model United Nations Club ITB,Ganesha Model United Nations Club ITB adalah unit kegiatan mahasiswa yang berfokus pada perlombaan Model United Nations (MUN) untuk membahas isu internasional berbagai bidang.,2011-08-14,,UKM,,Pendidikan,75,Ganesha Model United Nations Club (GMUNC) adalah unit kegiatan mahasiswa yang mengembangkan keterampilan diplomasi dan debat melalui simulasi sidang Perserikatan Bangsa-Bangsa.
stema_itb@km.itb.ac.id,Studi Teater Mahasiswa ITB,Studi Teater Mahasiswa ITB (STEMA ITB) adalah unit kegiatan mahasiswa ITB yang bergerak dalam studi teater sebagai sarana ekspresi dan kritik sosial.,1972-06-25,,UKM,,Seni,76,Studi Teater Mahasiswa (STEMA) adalah unit kegiatan seni teater bagi mahasiswa ITB.
badanpengurus53kpaitb@gmail.com,Keluarga Paduan Angklung ITB,Keluarga Paduan Angklung ITB (KPA-ITB) adalah unit kegiatan mahasiswa yang melestarikan dan mengembangkan seni musik angklung.,1972-03-17,,UKM,,Seni,248,
sekretariatugreenitb@gmail.com,U-Green ITB,"Unit Kegiatan Mahasiswa U-Green ITB berperan utama dalam mengedukasi generasi muda tentang isu lingkungan hidup, termasuk pengelolaan sampah.",2006-08-16,,UKM,,Pendidikan,,U-Green ITB (U-Green ITB) adalah unit kegiatan mahasiswa yang bergerak di bidang lingkungan hidup dan pembangunan berkelanjutan.
ubg_itb@km.itb.ac.id,Unit Basket Ganesha ITB,Unit Basket Ganesha ITB adalah lembaga kemahasiswaan bidang olahraga basket yang menyelenggarakan kompetisi basket internal dan eksternal bagi mahasiswa ITB.,1972-07-27,,UKM,,Olahraga dan Kesehatan,,Unit Basket Ganesha ITB (UBG ITB) adalah unit kegiatan mahasiswa yang mewadahi minat dan prestasi bola basket mahasiswa ITB.
kmbitb@gmail.com,Keluarga Mahasiswa Buddhis 'Dhammañano' ITB,Keluarga Mahasiswa Buddhis 'Dhammañano' ITB adalah lembaga kemahasiswaan Buddha di ITB yang bergerak dalam bidang keagamaan Buddha dan sosial kemasyarakatan.,1991-10-04,,UKM,,Agama,304,Keluarga Mahasiswa Buddhis 'Dhammañano' ITB (KMB 'Dhammañano' ITB) adalah unit kegiatan mahasiswa yang menjadi wadah kegiatan keagamaan Buddha di ITB.
psitb1975@gmail.com,Persatuan Sepakbola ITB,Persatuan Sepakbola ITB adalah lembaga kemahasiswaan yang berperan utama membina sepakbola dan profesionalisme anggotanya dilandasi rasa cinta.,1975-06-01,,UKM,,Olahraga dan Kesehatan,,Persatuan Sepakbola ITB (PS ITB) adalah unit kegiatan mahasiswa yang mewadahi minat dan prestasi sepak bola mahasiswa ITB.
kmk_itb@km.itb.ac.id,Keluarga Mahasiswa Katolik ITB,Keluarga Mahasiswa Katolik ITB adalah unit kemahasiswaan di ITB yang menaungi mahasiswa Katolik dan menjadi wadah pengembangan diri secara spiritual maupun nonspiritual.,1973-11-15,,UKM,,Agama,1056,Keluarga Mahasiswa Katolik ITB (KMK ITB) adalah unit kegiatan mahasiswa yang menjadi wadah kegiatan keagamaan Katolik di ITB.
ubala_itb@km.itb.ac.id,Unit Budaya Lampung ITB,"Unit Budaya Lampung ITB adalah lembaga kemahasiswaan ITB sebagai wadah kolaborasi pengembangan budaya Lampung, kesenian Lampung, dan pengembangan diri secara kekeluargaan.",1997-11-23,,UKM,,Budaya - Paguyuban,195,Unit Budaya Lampung ITB (UBALA ITB) adalah unit kegiatan mahasiswa yang melestarikan dan memperkenalkan budaya Lampung di lingkungan ITB.
genshiken_itb@km.itb.ac.id,Genshiken ITB,"Genshiken ITB adalah wadah mahasiswa ITB untuk berkarya, mencari teman sefrekuensi dalam pop culture, dan mengembangkan diri melalui apresiasi karya dan persiapan industri kreatif.",2005-06-25,,UKM,,Budaya,567,"Genshiken ITB adalah unit kegiatan mahasiswa yang berfokus pada budaya populer Jepang, sebagai wadah aktualisasi diri dan pengembangan kreativitas anggotanya."
taekwondoitb95@gmail.com,Unit Taekwondo ITB,Unit Taekwondo ITB adalah lembaga kemahasiswaan Institut Teknologi Bandung yang berperan sebagai wadah utama pengembangan olahraga taekwondo bagi mahasiswa.,1995-11-23,,UKM,,Olahraga dan Kesehatan,,Unit Taekwondo ITB (TKD ITB) adalah unit kegiatan mahasiswa yang mewadahi latihan dan prestasi bela diri taekwondo.
itb.pasopati@gmail.com,Unit Panahan Pasopati ITB,Unit Panahan Pasopati ITB adalah unit kegiatan mahasiswa ITB yang mewadahi pengembangan olahraga panahan dan berprestasi dengan menjunjung budaya apresiasi.,10 Oktober 1995,,UKM,,Olahraga dan Kesehatan,,Unit Panahan Pasopati ITB (Pasopati ITB) adalah unit kegiatan mahasiswa yang mewadahi minat dan prestasi olahraga panahan.
psm_itb@km.itb.ac.id,Paduan Suara Mahasiswa ITB,Paduan Suara Mahasiswa ITB adalah unit kebudayaan mahasiswa ITB di bidang paduan suara yang berperan sebagai pendukung acara protokoler dan kemahasiswaan.,1962-02-11,,UKM,,Seni,224,Paduan Suara Mahasiswa ITB (PSM-ITB) adalah unit kegiatan paduan suara mahasiswa ITB yang aktif dalam kegiatan bermusik serta kompetisi dan festival paduan suara.
uro.itb1920@gmail.com,Unit Robotika ITB,Unit Robotika ITB adalah unit kegiatan kemahasiswaan yang mewadahi minat dan bakat mahasiswa ITB dalam pengembangan dan riset di bidang robotika.,2008-05-19,,UKM,,Pendidikan,,Unit Robotika ITB (URO ITB) adalah unit kegiatan mahasiswa yang menjadi wadah pengembangan teknologi robotika dan partisipasi kontes robot.
humaslfmitb24@gmail.com,Liga Film Mahasiswa ITB,"Liga Film Mahasiswa ITB adalah lembaga kemahasiswaan bidang perfilman yang berperan sebagai media partner, penyelenggara kelas dan diskusi, serta bioskop kampus.",1960-04-21,,UKM,,Media,,Liga Film Mahasiswa ITB (LFM ITB) adalah unit kegiatan mahasiswa yang menjadi wadah apresiasi dan produksi karya film mahasiswa.
infinity_itb@km.itb.ac.id,ITB Dance and Performance Art Community,ITB Dance and Performance Art Community adalah unit seni budaya di ITB yang berperan mengembangkan kemampuan seni tari dan pertunjukan anggotanya melalui kekeluargaan.,2009-02-13,,UKM,,Seni,82,ITB Dance and Performance Art Community (INFINITY) adalah unit kegiatan mahasiswa yang mengembangkan seni tari dan seni pertunjukan modern.
rakataitb@gmail.com,Unit Otomotif Rakata ITB,Unit Otomotif Rakata ITB (Rakata) adalah unit kegiatan mahasiswa yang bergerak di bidang rekayasa dan kompetisi otomotif.,2010-12-04,,UKM,,Pendidikan,,
ukmr_itb@km.itb.ac.id,Unit Kebudayaan Melayu Riau ITB,Unit Kebudayaan Melayu Riau ITB adalah lembaga kemahasiswaan ITB yang mewadahi pengembangan dan pelestarian kebudayaan Melayu Riau dan Kepulauan Riau di kalangan mahasiswa ITB.,8 Maret 2006,,UKM,,Budaya - Paguyuban,219,Unit Kebudayaan Melayu Riau ITB (UKMR) adalah unit kegiatan mahasiswa yang melestarikan dan memperkenalkan budaya Melayu Riau di lingkungan ITB.
ubv.itb@gmail.com,Unit Bola Voli ITB,Unit Bola Voli ITB (UBV) adalah unit kegiatan mahasiswa yang mewadahi minat dan prestasi bola voli mahasiswa ITB.,1960-02-09,,UKM,,Olahraga dan Kesehatan,95,
ukt_itb@km.itb.ac.id,Unit Kebudayaan Tionghoa ITB,Unit Kebudayaan Tionghoa ITB adalah lembaga kemahasiswaan yang mewadahi pengembangan kebudayaan Tionghoa sebagai kebudayaan nasional Indonesia agar dikenal dan diterima masyarakat.,2012-04-24,,UKM,,Budaya,,Unit Kebudayaan Tionghoa ITB (UKT) adalah unit kegiatan mahasiswa yang melestarikan dan memperkenalkan budaya Tionghoa di lingkungan ITB.
pshtitb@gmail.com,Persaudaraan Setia Hati Terate ITB,Persaudaraan Setia Hati Terate ITB adalah lembaga kemahasiswaan ITB bidang pencak silat yang mengadakan latihan rutin online dan tugas fisik demi kualitas jasmani-rohani anggota.,2013-09-09,,UKM,,Olahraga dan Kesehatan,,Persaudaraan Setia Hati Terate ITB (PSHT ITB) adalah unit kegiatan mahasiswa yang mengembangkan bela diri pencak silat PSHT.
ukm_itb@km.itb.ac.id,Unit Kesenian Minangkabau ITB,Unit Kesenian Minangkabau ITB adalah lembaga kemahasiswaan di ITB yang berperan melestarikan dan mengembangkan kesenian Minangkabau.,1975-06-01,,UKM,,Budaya - Paguyuban,206,Unit Kesenian Minangkabau ITB (UKM-ITB) adalah unit kegiatan mahasiswa yang melestarikan dan memperkenalkan seni dan budaya Minangkabau di lingkungan ITB.
itbjazz@km.itb.ac.id,ITBJazz,"ITBJazz adalah unit kemahasiswaan berbasis komunitas di ITB yang menghimpun mahasiswa pecinta jazz untuk memperkenalkan, mengembangkan, serta melestarikan musik jazz.",2007-08-10,,UKM,,Seni,535,ITBJazz (ITBJazz) adalah unit kegiatan mahasiswa yang menjadi wadah pengembangan musik jazz bagi mahasiswa ITB.
,Unit Kesenian Sumatera Utara ITB,Unit Kesenian Sumatera Utara ITB (UKSU) adalah unit kegiatan mahasiswa yang melestarikan dan memperkenalkan seni dan budaya Sumatera Utara di lingkungan ITB.,1978-12-23,,UKM,,Budaya - Paguyuban,186,
usitb1974@gmail.com,Unit Softball ITB,Unit Softball ITB adalah lembaga kemahasiswaan di ITB yang berperan sebagai wadah menyalurkan bakat dan minat mahasiswa pada olahraga baseball-softball.,1974-02-07,,UKM,,Olahraga dan Kesehatan,88,Unit Softball ITB (US ITB) adalah unit kegiatan mahasiswa yang mewadahi minat dan prestasi softball mahasiswa ITB.
menwa_itb@km.itb.ac.id,Resimen Mahasiswa Mahawarman Batalyon I/ITB,Resimen Mahasiswa Mahawarman Batalyon I/ITB (Menwa ITB) adalah unit kegiatan mahasiswa yang bergerak di bidang bela negara dan kedisiplinan.,1964-03-30,,UKM,,Pendidikan,,
pelitamuda_itb@km.itb.ac.id,Pelita Muda ITB,"Pelita Muda ITB adalah unit kegiatan mahasiswa yang melahirkan pemuda paham negerinya, peka sosial, dan sadar memajukan bangsa lewat Social Mapping, Design Thinking, Penjelajahan, dan Jurnalistik.",2015-08-17,,UKM,,Pendidikan,,Pelita Muda ITB (PM) adalah unit kegiatan mahasiswa yang bergerak di bidang kepekaan sosial dan pemberdayaan masyarakat.
ut_itb@km.itb.ac.id,Unit Tenis ITB,Unit Tenis ITB adalah lembaga kemahasiswaan ITB yang berperan sebagai wadah pengembangan anggota dalam keterampilan tenis lapangan dan berorganisasi.,1977-01-19,,UKM,,Olahraga dan Kesehatan,,Unit Tenis ITB (UT ITB) adalah unit kegiatan mahasiswa yang mewadahi minat dan prestasi tenis lapangan mahasiswa ITB.
nautika_itb@km.itb.ac.id,Unit Selam Nautika ITB,Unit Selam Nautika ITB (Nautika ITB) adalah unit kegiatan mahasiswa yang mewadahi kegiatan dan pendidikan selam mahasiswa ITB.,1996-08-17,,UKM,,Olahraga dan Kesehatan,125,
ksep_itb@km.itb.ac.id,Kelompok Studi Ekonomi dan Pasar Modal ITB,Kelompok Studi Ekonomi dan Pasar Modal ITB adalah lembaga kemahasiswaan yang berperan menambah wawasan ekonomi dan pasar modal serta berbagi ilmu kepada anggota dan masyarakat.,1997-11-22,,UKM,,Pendidikan,290,Kelompok Studi Ekonomi dan Pasar Modal ITB (KSEP ITB) adalah unit kegiatan mahasiswa yang menjadi wadah kajian ekonomi dan pasar modal.
studentenglishforum@gmail.com,Student English Forum ITB,Student English Forum ITB (SEF ITB) adalah unit kegiatan mahasiswa yang mengembangkan kemampuan berbahasa Inggris mahasiswa ITB.,1999-09-04,,UKM,,Pendidikan,113,
ksr_pmi@km.itb.ac.id,Korps Sukarela Palang Merah Indonesia Unit ITB,"Korps Sukarela Palang Merah Indonesia Unit ITB mengembangkan kepalangmerahan melalui pendidikan P3K, donor darah, dan pelatihan kesehatan sebagai lembaga kemahasiswaan kemanusiaan.",2000-02-29,,UKM,,Pendidikan,,Korps Sukarela PMI Unit ITB (KSR PMI Unit ITB) adalah unit kegiatan mahasiswa yang bergerak di bidang kepalangmerahan dan kerelawanan kemanusiaan.
tec_itb@km.itb.ac.id,Techno Entrepreneur Club ITB,"Techno Entrepreneur Club ITB adalah organisasi kemahasiswaan yang fokus pada pengembangan kewirausahaan dan organisasi melalui program edukasi, magang, dan festival kewirausahaan.",2007-12-19,,UKM,,Pendidikan,,Techno Entrepreneur Club ITB (TEC ITB) adalah unit kegiatan mahasiswa yang mengembangkan minat kewirausahaan berbasis teknologi.
musitekanjad@gmail.com,Mahasiswa Bumi Sriwijaya ITB,Mahasiswa Bumi Sriwijaya ITB (MUSI ITB) adalah lembaga kemahasiswaan yang berdedikasi melestarikan kebudayaan Sumatera Selatan serta membina persaudaraan antar mahasiswa.,1999-09-28,,UKM,,Budaya - Paguyuban,,Mahasiswa Bumi Sriwijaya ITB (MUSI ITB) adalah unit kegiatan mahasiswa yang menjadi wadah kebersamaan dan pelestarian budaya Sumatera Selatan di ITB.
uab_itb@km.itb.ac.id,Unit Aktivitas Bridge ITB,Unit Aktivitas Bridge ITB adalah unit kegiatan mahasiswa yang bergerak di bidang olahraga bridge untuk mengharumkan nama bangsa dan almamater.,1979-08-31,,UKM,,Olahraga dan Kesehatan,32,Unit Aktivitas Bridge ITB (UAB ITB) adalah unit kegiatan mahasiswa yang mewadahi minat dan prestasi olahraga bridge.
kendoitb.unit@gmail.com,Unit Kendo ITB,"Unit Kendo ITB adalah unit kegiatan mahasiswa yang memperkenalkan Kendo serta menanamkan nilai Bushido melalui latihan rutin, gabungan, dan grading.",1998-09-14,,UKM,,Olahraga dan Kesehatan,,Unit Kendo ITB (Kendo ITB) adalah unit kegiatan mahasiswa yang mengembangkan bela diri kendo di kalangan mahasiswa ITB.
aksantaraitb@gmail.com,Aksantara ITB,Aksantara ITB adalah unit kegiatan mahasiswa ITB yang berfokus pada inovasi teknologi UAV serta pengembangan individu melalui kompetisi dan riset.,2013-05-13,,UKM,,Pendidikan,,Aksantara ITB (Aksantara ITB) adalah unit kegiatan mahasiswa yang bergerak di bidang riset dan inovasi wahana terbang tanpa awak (UAV).
kawaicrb@gmail.com,Keluarga Mahasiswa Islam ITB Kampus Cirebon,Keluarga Mahasiswa Islam ITB Kampus Cirebon adalah lembaga kemahasiswaan keagamaan Islam yang mengembangkan spiritualitas mahasiswa Muslim di ITB Kampus Cirebon sejak 16 Februari 2019.,2019-02-16,,UKM,,Agama,,Keluarga Mahasiswa Islam ITB Kampus Cirebon (KAWAI ITB) adalah unit kegiatan mahasiswa yang menjadi wadah kegiatan keislaman bagi mahasiswa ITB Kampus Cirebon.
gim@km.itb.ac.id,Ganesha Interactive Media ITB,Ganesha Interactive Media ITB adalah unit pengembangan talenta media interaktif dan game yang berkomitmen mencetak pengembang profesional di Indonesia.,2019-11-10,,UKM,,Media,,Ganesha Interactive Media ITB (GIM ITB) adalah komunitas mahasiswa yang mengembangkan bakat dan keterampilan pengembangan gim serta media interaktif.
gajahngomik@gmail.com,Gajah Ngomik ITB,Gajah Ngomik ITB adalah lembaga kemahasiswaan yang bermarkas di Ruang Workshop Kreatif sejak didirikan 23 Agustus 2020.,2020-08-23,,UKM,,Pendidikan,,Gajah Ngomik (Gamik) adalah komunitas mahasiswa yang menjadi wadah pengembangan karya komik dan ilustrasi di ITB.
sreitb2425@gmail.com,Society of Renewable Energy ITB,Society of Renewable Energy ITB (SRE ITB) adalah unit kegiatan mahasiswa yang bergerak di bidang kajian dan pengembangan energi terbarukan.,2019-07-27,,UKM,,Pendidikan,,
,Cerberus Racing Team ITB,Cerberus Racing Team ITB (CRT) adalah unit kegiatan mahasiswa yang bergerak di bidang rekayasa dan kompetisi mobil balap.,,,UKM,,Penalaran & Teknologi,,
cbcitb11.11@gmail.com,Cirebon Boardgame Community ITB,Cirebon Boardgame Community ITB adalah lembaga kemahasiswaan di Kampus Cirebon yang mengembangkan minat dan kegiatan bermain game papan (boardgame).,2023-11-11,,UKM,,Olahraga dan Kesehatan,100,Cirebon Boardgame Community ITB (CBC ITB) adalah komunitas mahasiswa yang mengembangkan minat permainan papan (board game) di ITB Kampus Cirebon.
gebrakindonesia@km.itb.ac.id,Gebrak Indonesia ITB,Gebrak Indonesia ITB adalah lembaga kemahasiswaan di Institut Teknologi Bandung yang didirikan pada 13 April 2013.,2013-04-13,,UKM,,Pendidikan,191,Gebrak Indonesia (Gebrak) adalah unit kegiatan mahasiswa yang bergerak di bidang pergerakan sosial kemasyarakatan.
ciscosportitb@gmail.com,Cirebon Sport Community ITB,Cirebon Sport Community ITB (CISCO) adalah komunitas olahraga mahasiswa ITB Kampus Cirebon.,2023-04-16,,UKM,,Olahraga dan Kesehatan,175,
aapgitbsc@km.itb.ac.id,Advance Association of Petroleum Geologists ITB,Advance Association of Petroleum Geologists ITB (AAPG ITB) adalah unit kegiatan mahasiswa yang menjadi wadah kajian geologi perminyakan.,2000-10-08,,UKM,,Pendidikan,150,
,Ganesha Pintar ITB,Ganesha Pintar (Forum Mahasiswa KIP-K ITB) adalah wadah kebersamaan dan pengembangan diri bagi mahasiswa penerima KIP Kuliah di ITB.,,,UKM,,Lingkungan & Sosial,,
fitlevitatingitb@gmail.com,Fit Levitating ITB,Fit Levitating ITB adalah lembaga kemahasiswaan Institut Teknologi Bandung yang didirikan pada 31 Januari 2025.,2025-01-31,,UKM,,Olahraga dan Kesehatan,75,Fit Levitating ITB adalah komunitas kebugaran yang mendorong gaya hidup sehat bagi mahasiswa ITB.
arc_itb@km.itb.ac.id,Amateur Radio Club ITB,Amateur Radio Club ITB adalah lembaga kemahasiswaan yang mewadahi minat serta meningkatkan wawasan teknologi informasi mahasiswa dan masyarakat melalui program edukatif seperti webinar mingguan.,1988-01-11,,UKM,,Pendidikan,,Amateur Radio Club ITB (ARC ITB) adalah unit kegiatan mahasiswa ITB di bidang komunikasi radio amatir.
pramuka@km.itb.ac.id,Pramuka ITB,"Pramuka ITB merupakan UKM Pendidikan yang berfokus pada kajian kepramukaan, teknologi tepat guna, teknik kepramukaan, dan pengabdian masyarakat.",1972-03-12,,UKM,,Pendidikan,,Pramuka ITB adalah unit kegiatan mahasiswa ITB di bidang kepanduan dan kegiatan alam terbuka.
solveit.itb@km.itb.ac.id,Solve-It ITB,"Solve-It ITB adalah lembaga kemahasiswaan yang mendorong penelitian, karya, dan inovasi solusi teknologi, bisnis, serta desain melalui kolaborasi riset interdisipliner dan pendataan lomba.",2019-08-31,,UKM,,Pendidikan,,Solve-It ITB adalah unit kegiatan mahasiswa yang menjadi wadah kajian dan pemecahan masalah berbasis studi kasus.
shareatitb@gmail.com,shARE ITB,shARE ITB adalah unit kegiatan mahasiswa yang menjadi wadah berbagi pengetahuan dan pengembangan diri mahasiswa ITB.,2019-07-30,,UKM,,Pendidikan,,
gcs.itb@gmail.com,Ganesha Caffeine Society ITB,Ganesha Caffeine Society ITB adalah komunitas mahasiswa bidang minat kopi dan kafein yang didirikan pada 27 Juni 2025.,2025-06-27,,UKM,,Pendidikan,,Ganesha Caffeine Society ITB (GCS ITB) adalah komunitas mahasiswa ITB yang bergerak di bidang perkopian.
itbfellowshipclub@gmail.com,ITB Fellowship Club,ITB Fellowship Club adalah komunitas persekutuan mahasiswa Kristen di ITB.,2024-12-14,,UKM,,Pendidikan,,
mg_itb@km.itb.ac.id,Majalah Ganesha ITB,"Majalah Ganesha ITB adalah lembaga media mahasiswa yang menyelenggarakan kajian, diskusi, dan media opini sosial-ekonomi-politik untuk membentuk intelektual kritis.",1989-02-22,,UKM,,Kajian,,"Majalah Ganesha (Kelompok Studi Sejarah, Ekonomi, dan Politik) adalah unit kegiatan mahasiswa ITB di bidang jurnalistik dan kajian sosial-politik."
boulevarditb@gmail.com,Boulevard ITB,"Boulevard ITB adalah lembaga kemahasiswaan bidang politik dan isu kampus yang mengelola majalah, festival jurnalistik, dan konten digital untuk menginspirasi massa kampus.",1993-04-29,,UKM,,Media,,Boulevard ITB adalah unit kegiatan mahasiswa ITB.
urbaitb@gmail.com,Unit Olahraga Biliar ITB,"Unit Olahraga Biliar ITB adalah unit kegiatan mahasiswa yang bergerak di bidang olahraga biliar untuk mengembangkan minat, bakat, serta prestasi anggota di Institut Teknologi Bandung.",2024-02-26,,UKM,,Olahraga dan Kesehatan,43,Unit Olahraga Biliar ITB (URBA ITB) adalah unit kegiatan mahasiswa yang mewadahi minat dan prestasi olahraga biliar.
itbboxingclub@gmail.com,ITB Boxing Club,ITB Boxing Club adalah unit kegiatan mahasiswa ITB di bidang olahraga tinju yang berperan mengembangkan bakat dan prestasi anggotanya.,2024-12-12,,UKM,,Olahraga dan Kesehatan,156,ITB Boxing Club adalah unit kegiatan mahasiswa yang mewadahi minat dan prestasi olahraga tinju di ITB.
ganeshagolfitb@gmail.com,Unit Ganesha Golf ITB,Unit Ganesha Golf ITB adalah unit kegiatan mahasiswa yang bergerak di bidang pengembangan olahraga golf.,2021-02-04,,UKM,,Olahraga dan Kesehatan,,Unit Ganesha Golf ITB adalah unit kegiatan mahasiswa yang mewadahi minat dan prestasi olahraga golf.
,Perisai Diri ITB,Perisai Diri ITB adalah unit kegiatan mahasiswa yang mengembangkan bela diri pencak silat Perisai Diri.,1965-07-05,,UKM,,Olahraga dan Kesehatan,,
gabut.itb@gmail.com,Ganesha Boardgame United Tabletop ITB,Ganesha Boardgame United Tabletop ITB (GABUT ITB) adalah komunitas mahasiswa penggemar permainan papan dan tabletop di ITB.,2024-09-05,,UKM,,Olahraga dan Kesehatan,,
apresitb1994@gmail.com,Apres! ITB,"Apres! ITB adalah lembaga kemahasiswaan yang membina kreativitas dan apresiasi musik mahasiswa berlandaskan integritas, kejujuran, dan dedikasi.",1994-02-16,,UKM,,Seni,,Apres! ITB adalah unit kegiatan mahasiswa yang bergerak di bidang apresiasi seni dan budaya.
lssitbofficial@gmail.com,Lingkung Seni Sunda ITB,"Lingkung Seni Sunda ITB adalah lembaga kemahasiswaan yang bergerak di bidang pengembangan, pelestarian, dan apresiasi seni budaya Sunda di Institut Teknologi Bandung.",1971-04-15,,UKM,,Budaya,60,Lingkung Seni Sunda ITB (LSS ITB) adalah unit kegiatan mahasiswa yang melestarikan dan mengembangkan seni tradisional Sunda.
kmjambiitb@gmail.com,Keluarga Mahasiswa Jambi ITB,Keluarga Mahasiswa Jambi ITB adalah organisasi kemahasiswaan berbasis asal daerah yang membina kekeluargaan serta menampung aspirasi mahasiswa asal Jambi di lingkungan ITB.,2024-03-02,,UKM,,Budaya - Paguyuban,106,Keluarga Mahasiswa Jambi ITB (KMJ ITB) adalah wadah kebersamaan mahasiswa asal Jambi di ITB serta pelestarian budaya Jambi.
komisariathmotritonitb@km.itb.ac.id,Komisariat Himpunan Mahasiswa Oseanografi 'TRITON' ITB Cirebon,Komisariat Himpunan Mahasiswa Oseanografi 'TRITON' ITB Kampus Cirebon adalah perwakilan HMO TRITON ITB bagi mahasiswa Oseanografi di ITB Kampus Cirebon.,2024-05-17,,Himpunan,Oseanografi,,,
komisariatterikat@gmail.com,Komisariat TERIKAT ITB Cirebon,Komisariat TERIKAT ITB Kampus Cirebon adalah perwakilan TERIKAT ITB bagi mahasiswa Kriya di ITB Kampus Cirebon.,2016-05-22,,Himpunan,Kriya,,160,
komisariatpatraitb@km.itb.ac.id,Komisariat Himpunan Mahasiswa Teknik Perminyakan ITB Cirebon,"Komisariat Himpunan Mahasiswa Teknik Perminyakan ""PATRA"" ITB Kampus Cirebon adalah perwakilan HMTM PATRA ITB bagi mahasiswa Teknik Perminyakan di ITB Kampus Cirebon.",2022-12-10,,Himpunan,Teknik Perminyakan,,120,
komisariat_hmtitb@km.itb.ac.id,Komisariat Himpunan Mahasiswa Tambang ITB Cirebon,Komisariat Himpunan Mahasiswa Tambang ITB Cirebon adalah lembaga perwakilan mahasiswa Teknik Pertambangan yang mengkoordinasikan organisasi serta menampung aspirasi di kampus Cirebon.,1955-05-15,,Himpunan,Teknik Pertambangan,,116,Komisariat Himpunan Mahasiswa Tambang ITB Kampus Cirebon adalah perwakilan HMT-ITB bagi mahasiswa Teknik Pertambangan di ITB Kampus Cirebon.
hmp_itb_komisariat@km.itb.ac.id,Komisariat Himpunan Mahasiswa Perencanaan Wilayah dan Kota ITB Cirebon,"Komisariat Himpunan Mahasiswa Perencanaan Wilayah dan Kota ITB Cirebon mengembangkan keilmuan PWK, minat anggota, dan kolaborasi eksternal dengan pola pikir logis dan strategis.",2018-04-26,,Himpunan,Perencanaan Wilayah dan Kota,,152,"Komisariat Himpunan Mahasiswa Perencanaan Wilayah dan Kota ""Pangripta Loka"" ITB Kampus Cirebon adalah perwakilan HMP PL ITB bagi mahasiswa PWK di ITB Kampus Cirebon."
remticirebonitb@gmail.com,Region Eksekutif Keluarga Mahasiswa Teknik Industri ITB Cirebon,Region Eksekutif Keluarga Mahasiswa Teknik Industri ITB Cirebon (REMTI) adalah perwakilan MTI ITB bagi mahasiswa Teknik Industri di ITB Kampus Cirebon.,2026-04-18,,Himpunan,Teknik Industri,,146,
skhole@km.itb.ac.id,Skhole ITB Mengajar,Skhole ITB Mengajar adalah lembaga kemahasiswaan ITB yang mengkoordinasi gerakan mengajar KM ITB untuk mewujudkan pendidikan berkualitas bagi anak-anak di sekitar Bandung.,2010-11-12,,BSO,,,179,Skhole—ITB Mengajar adalah badan semi-otonom mahasiswa ITB yang bergerak di bidang pendidikan melalui kegiatan pengabdian mengajar.
pmk.itb@gmail.com,Persekutuan Mahasiswa Kristen ITB Cirebon,Persekutuan Mahasiswa Kristen ITB Cirebon (PMK Cirebon) adalah badan semi-otonom yang menjadi wadah persekutuan dan pembinaan iman bagi mahasiswa Kristen ITB Kampus Cirebon.,2026-02-22,,BSO,,,189,
